matrice,analita,parametro,requisito_min,requisito_max,espressione,udm,spiegazione
sedimento,"1,2,3,6,7,8-HxCDF",Giustezza,92,120,recupero,%,tabella 6 EPA 1613
sedimento,"1,2,3,7,8,9-HxCDD",Precisione,,20,cv,%,"Valore minore tra tabella 6 EPA 1613 e Linea guida SNPA 34/2021 (S_r/u_snpa < 0,66)"
sedimento,"1,2,3,7,8,9-HxCDD",Giustezza,74,142,recupero,%,tabella 6 EPA 1613
sedimento,"1,2,3,7,8,9-HxCDF",Precisione,,13,cv,%,"Valore minore tra tabella 6 EPA 1613 e Linea guida SNPA 34/2021 (S_r/u_snpa < 0,66)"
sedimento,"1,2,3,7,8,9-HxCDF",Giustezza,84,122,recupero,%,tabella 6 EPA 1613
sedimento,"2,3,4,6,7,8-HxCDF",Precisione,,15,cv,%,"Valore minore tra tabella 6 EPA 1613 e Linea guida SNPA 34/2021 (S_r/u_snpa < 0,66)"
sedimento,"2,3,4,6,7,8-HxCDF",Giustezza,74,148,recupero,%,tabella 6 EPA 1613
sedimento,"1,2,3,4,6,7,8-HpCDD",Precisione,,15,cv,%,"Valore minore tra tabella 6 EPA 1613 e Linea guida SNPA 34/2021 (S_r/u_snpa < 0,66)"
sedimento,"1,2,3,4,6,7,8-HpCDD",Giustezza,76,130,recupero,%,tabella 6 EPA 1613
sedimento,"1,2,3,4,6,7,8-HpCDF",Precisione,,13,cv,%,"Valore minore tra tabella 6 EPA 1613 e Linea guida SNPA 34/2021 (S_r/u_snpa < 0,66)"
sedimento,"1,2,3,4,6,7,8-HpCDF",Giustezza,90,112,recupero,%,tabella 6 EPA 1613
sedimento,"1,2,3,4,7,8,9-HpCDF",Precisione,,16,cv,%,"Valore minore tra tabella 6 EPA 1613 e Linea guida SNPA 34/2021 (S_r/u_snpa < 0,66)"
sedimento,"1,2,3,4,7,8,9-HpCDF",Giustezza,86,126,recupero,%,tabella 6 EPA 1613
sedimento,OCDD,Precisione,,19,cv,%,"Valore minore tra tabella 6 EPA 1613 e Linea guida SNPA 34/2021 (S_r/u_snpa < 0,66)"
sedimento,OCDD,Giustezza,89,127,recupero,%,tabella 6 EPA 1613
sedimento,OCDF,Precisione,,20,cv,%,"Valore minore tra tabella 6 EPA 1613 e Linea guida SNPA 34/2021 (S_r/u_snpa < 0,66)"
sedimento,OCDF,Giustezza,74,146,recupero,%,tabella 6 EPA 1613
sedimento,OMS-TEQ-PCDD/F,LOQ,,0.7,loq,ng/kg,"Valore minimo tra 1/10 del valore del limite di legge previsto dal D.Lgs. 152/06 (LOQ = 1 ng/kg per I-TEQ PCDD/F), valore previsto dal decreto 46/2019 (LOQ = 0,6 ng/kg per OMS-TEQ PCDD/F + PCBdl) e 1/3 di SQA-MA previsto dal D.Lgs. 152/06 nella matrice sedimenti (LOQ = 0,7 per OMS-TEQ PCDD/F + PCBdl)"
sedimento,I-TEQ-PCDD/F,LOQ,,0.7,loq,ng/kg,"Valore minimo tra 1/10 del valore del limite di legge previsto dal D.Lgs. 152/06 (LOQ = 1 ng/kg per I-TEQ PCDD/F), valore previsto dal decreto 46/2019 (LOQ = 0,6 ng/kg per OMS-TEQ PCDD/F + PCBdl) e 1/3 di SQA-MA previsto dal D.Lgs. 152/06 nella matrice sedimenti (LOQ = 0,7 per OMS-TEQ PCDD/F + PCBdl)"
